id_restaurant,place_name,address,latitude,longitude,cluster
53,Tahu Petis Yudhistira - Semarang,"Jl. Yudistira No.21, Pendrikan Kidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50131, Indonesia",-6.981935,110.407407,4
54,Tempe Mendoan,"Jl. Bend. No.18, Kaliputih, Sempor, Kec. Sempor, Kabupaten Kebumen, Jawa Tengah 54421, Indonesia",-7.566934,109.489361,2
55,Tempe Mendoan Mbah Sumaryo,"sumur amba, Jl. Raya Kecila-Kemranjen No.54 RT02, RW.13, Telengrejo, Kebarongan, Kemranjen, Banyumas Regency, Central Java 53194, Indonesia",-7.593293,109.284782,2
56,Tempe Mendoan Jumbo Borobudur / Vegan Food Borobudur,"Ngaran I, RT.:003/RW.:005, Dusun XVIII, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553, Indonesia",-7.609027,110.211477,2
57,Warung Nasi Gandul kasmaran pak Mutiman,"Jl. Kiai Saleh, RT.1/RW.1, Kaborongan, Pati Lor, Kec. Pati, Kabupaten Pati, Jawa Tengah 59111, Indonesia",-6.751894,111.037344,4
58,Nasi Gandul Pak Meled,"Krajan Gajah Mati, Gajahmati, Pati, Pati Regency, Central Java 59116, Indonesia",-6.7584,111.045344,4
59,Nasi Gandul - Bu Harni,"Pekunden, Semarang Tengah, Semarang City, Central Java 50134, Indonesia",-6.987917,110.427089,4
60,Dawet Ireng Khas Purworejo,"Jl. Cempaka No.47, Ngepos, Klaten, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57411, Indonesia",-7.708277,110.602179,2
61,warung dawet ireng,"Jl. Butuh - Klepu, Krajan, Butuh, Kec. Butuh, Kabupaten Purworejo, Jawa Tengah 54264, Indonesia",-7.721971,109.855012,2
62,Dawet Ireng,"Jl. Ir. H Juanda No.1-16, Tegalsari, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54151, Indonesia",-7.702178,110.016975,2
63,RM. Brekecek Pathak Jahan Bu WIDI,"Jl. Slamet No.5, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212, Indonesia",-7.72507,109.015002,2
64,"Lumpia Semarang ""BAROKAH""","Kepatihan Wetan, Jebres, Surakarta City, Central Java 57129, Indonesia",-7.562958,110.833204,2
65,LUMPIA SEMARANG DEPAN ORION SOLO,"Jalan Urip Sumoharjo No. 80, Jebres, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",-7.56586,110.833819,2
66,Lumpia Semarang Mbak Wien,"Jl. Blimbing I No.3B, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57155, Indonesia",-7.558393,110.788041,2
67,Kue ganjel rel Nyonyah cakery,"Jl. Pandean Lamper III No.32, Peterongan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50242, Indonesia",-6.998544,110.436752,4
68,Toetjoeh Ganjel Rel,"perumahan pandanaran hill, Jl. Pandan Biru I Blk. A No.A21, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",-7.036253,110.461436,4
69,Ganjel Rel Semarang [oemahganjelrel],"Jl. Giri Mukti Bar. No.3, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196, Indonesia",-6.98947,110.461921,4
